date,total_visits,unique_visits,phone_clicks,email_clicks,partial_day,contact_actions,contact_density,phone_density,email_density,repeat_visit_factor,gross_opportunity_at_159
2026-07-09,21,16,1,0,True,1,0.0625,0.0625,0.0,1.3125,159
2026-07-08,98,71,2,3,False,5,0.070423,0.028169,0.042254,1.380282,795
2026-07-07,68,57,8,0,False,8,0.140351,0.140351,0.0,1.192982,1272
2026-07-06,77,56,0,0,False,0,0.0,0.0,0.0,1.375,0
2026-07-05,109,80,7,2,False,9,0.1125,0.0875,0.025,1.3625,1431
2026-07-04,49,44,2,0,False,2,0.045455,0.045455,0.0,1.113636,318
2026-07-03,70,61,4,1,False,5,0.081967,0.065574,0.016393,1.147541,795
2026-07-02,60,51,1,2,False,3,0.058824,0.019608,0.039216,1.176471,477
2026-07-01,61,52,3,4,False,7,0.134615,0.057692,0.076923,1.173077,1113
2026-06-30,69,56,3,1,False,4,0.071429,0.053571,0.017857,1.232143,636
2026-06-29,104,81,2,1,False,3,0.037037,0.024691,0.012346,1.283951,477
2026-06-28,64,50,1,1,False,2,0.04,0.02,0.02,1.28,318
2026-06-27,72,64,1,0,False,1,0.015625,0.015625,0.0,1.125,159
2026-06-26,119,82,2,1,False,3,0.036585,0.02439,0.012195,1.45122,477
2026-06-25,89,71,1,0,False,1,0.014085,0.014085,0.0,1.253521,159
2026-06-24,54,45,2,1,False,3,0.066667,0.044444,0.022222,1.2,477
2026-06-23,50,46,3,0,False,3,0.065217,0.065217,0.0,1.086957,477
2026-06-22,89,72,1,1,False,2,0.027778,0.013889,0.013889,1.236111,318
2026-06-21,82,71,3,1,False,4,0.056338,0.042254,0.014085,1.15493,636
2026-06-20,65,49,5,2,False,7,0.142857,0.102041,0.040816,1.326531,1113
2026-06-19,71,56,3,0,False,3,0.053571,0.053571,0.0,1.267857,477
2026-06-18,69,51,5,0,False,5,0.098039,0.098039,0.0,1.352941,795
2026-06-17,53,48,3,0,False,3,0.0625,0.0625,0.0,1.104167,477
2026-06-16,71,59,3,0,False,3,0.050847,0.050847,0.0,1.20339,477
2026-06-15,108,80,3,1,False,4,0.05,0.0375,0.0125,1.35,636
2026-06-14,96,73,7,2,False,9,0.123288,0.09589,0.027397,1.315068,1431
2026-06-13,68,55,2,0,False,2,0.036364,0.036364,0.0,1.236364,318
2026-06-12,73,62,0,0,False,0,0.0,0.0,0.0,1.177419,0
2026-06-11,91,66,3,4,False,7,0.106061,0.045455,0.060606,1.378788,1113
2026-06-10,39,34,1,1,False,2,0.058824,0.029412,0.029412,1.147059,318
2026-06-09,38,27,4,1,False,5,0.185185,0.148148,0.037037,1.407407,795
